Date,Share_Price,Volume
2015-01-01,18.683784236614155,7350634
2015-02-01,19.146906508350263,2492743
2015-03-01,19.65302419254514,2370006
2015-04-01,21.637127939416434,6997578
2015-05-01,21.88300092227645,2039911
2015-06-01,23.763454356017554,5272471
2015-07-01,25.253864413811517,6364759
2015-08-01,26.887992343434636,2566891
2015-09-01,28.212533110209158,6913790
2015-10-01,29.247602180974027,4330409
2015-11-01,30.844352739786817,5947581
2015-12-01,33.3902090319485,2754354
2016-01-01,34.297445788032476,7364994
2016-02-01,35.77518903609304,3228388
2016-03-01,36.636754816933276,3370406
2016-04-01,36.47200536528227,7440913
2016-05-01,37.54380707391951,868148
2016-06-01,40.248477458626844,2625665
2016-07-01,40.70419375152298,4856518
2016-08-01,42.00034532945224,3469995
2016-09-01,41.55173500477231,5598669
2016-10-01,43.49519075978149,2670928
2016-11-01,44.92712970229922,5800193
2016-12-01,44.68170721662654,6502653
2017-01-01,49.08383112864377,6214709
2017-02-01,49.35066869420816,1071836
2017-03-01,50.73846657999541,3385031
2017-04-01,52.67993669524947,1364685
2017-05-01,53.89000612284838,3504238
2017-06-01,52.0963754262343,3430708
2017-07-01,56.71795752136707,7523771
2017-08-01,58.600530461808056,3413740
2017-09-01,60.38890076327375,2225472
2017-10-01,58.74406257998709,848984
2017-11-01,62.21601103749704,2911138
2017-12-01,64.11856305908763,5580450
2018-01-01,63.90901721981057,2643400
2018-02-01,68.07637904508384,1879111
2018-03-01,70.70927733629381,2670230
2018-04-01,77.82529900000917,4547389
2018-05-01,87.00551778599119,4402279
2018-06-01,90.34729739140155,6315989
2018-07-01,98.35814006048675,2748260
2018-08-01,107.10741908557326,5133486
2018-09-01,110.1016012329125,3936729
2018-10-01,103.62301474634772,7714550
2018-11-01,94.93193052569109,6162056
2018-12-01,101.58234800195359,7310425
2019-01-01,105.18279884330016,4131068
2019-02-01,111.33022353495646,4056415
2019-03-01,116.15436712993238,4672998
2019-04-01,131.10225198145642,1773548
2019-05-01,137.9711860450358,7016204
2019-06-01,145.551977256399,4270495
2019-07-01,139.38188534822172,7506971
2019-08-01,119.94401006166133,843585
2019-09-01,92.2127610181589,909556
2019-10-01,66.16041831295802,2375557
2019-11-01,31.051248482010294,2923091
2019-12-01,1.2940499645777856,2809021
2020-01-01,1.4897840018729436,7500379
2020-02-01,1.204213279054916,4360920
2020-03-01,0.838065097404085,6695544
2020-04-01,0.5463957163874246,5978650
2020-05-01,0.3589161353409769,6622184
2020-06-01,0.2485402366458719,1202690
2020-07-01,0.18001840844391284,6793096
2020-08-01,0.11943699087989965,2754109
2020-09-01,0.09920896709683942,7257294
2020-10-01,0.0795373810296481,2184250
2020-11-01,0.0602579265961137,7209907
2020-12-01,0.04797768506680427,2296176
